Class,Word,ClassID
anchor,anchor,37
apple,apple,25
spider,arachnid,26
baby bottle,baby bottle,6
baby bottle,baby milk,6
dragon,basilisk,7
hammer,batter,13
bird,bird,12
stains,blotch,11
lightning,bolt,2
bomb,bomb,8
bomb,bombshell,8
skull,bones,35
fire,bonfire,34
baby bottle,bottle,6
dino,brontosaur,54
clown,buffoon,3
ladybug,bug,50
bulb,bulb,53
cactus,cactus,15
fire,campfire,34
maple,canada,24
candle,candle,21
taxi,car,30
carrot,carrot,48
cat,cat,20
cheese,cheese,52
turtle,chelonian,33
chess,chess,17
chess,chess pieces,17
scissors,clippers,23
hammer,clobber,13
clock,clock,56
clown,clown,3
turtle,cooter,33
pencil,crayon,51
daisy,daisy,49
ghost,demon,1
ghost,devil,1
dino,dino,54
dino,dinosaur,54
dobble,dobble,9
dog,dog,31
dolphin,dolphin,18
dragon,dragon,7
drop,drop,5
hammer,drub,13
exclamation,exclamation,22
bomb,explosive,8
eye,eye,46
music,fa key,38
fire,fire,34
daisy,flower,49
clown,fool,3
tree,forest,41
snowman,frosty,40
ghost,ghost,1
man,ginger,36
man,gingerbread,36
glasses,glasses,43
bomb,grenade,8
hammer,hammer,13
heart,heart,39
fire,heat,34
key,home key,45
dog,hound,31
clock,hourglass,56
dragon,hydra,7
ice,ice,47
ice,icecube,47
igloo,igloo,10
clown,jester,3
key,key,45
cat,kitten,20
cat,kitty,20
chess,knight,17
ladybug,ladybug,50
maple,leaf,24
bulb,light,53
bulb,light bulb,53
lightning,lightning,2
lips,lips,32
lock,lock,14
heart,love,39
man,man,36
maple,maple,24
maple,maple leaf,24
dog,mascot,31
bomb,mine,8
moon,moon,4
music,music,38
music,music key,38
target,objetive,0
exclamation,outcry,22
pencil,pen,51
pencil,pencil,51
man,person,36
ghost,phantom,1
skull,pirate,35
skull,pirate flag,35
target,point blank,0
dog,pup,31
dog,puppy,31
question,question,44
question,question mark,44
exclamation,roar,22
scissors,scissors,23
shamrock,shamrock,29
scissors,shears,23
bomb,shell,8
skull,skull,35
skull,skull and bones,35
stains,smudge,11
snow,snow,27
snow,snowflake,27
snowman,snowman,40
ghost,soul,1
ghost,specter,1
spider,spider,26
web,spider web,42
spider,spiderman,26
stains,stain,11
stains,stains,11
sun,star,28
stop,stop,16
stop,stopsign,16
sun,sun,28
glasses,sunglasses,43
sun,sunny,28
cat,tabby,20
target,target,0
target,target mark,0
dragon,tarragon,7
taxi,taxi,30
lightning,thunderbolt,2
lightning,thunderstroke,2
tree,timber,41
clock,timepiece,56
candle,torch,21
turtle,tortoise,33
stop,traffic sign,16
tree,tree,41
scissors,trimmer,23
turtle,turtle,33
clock,watch,56
drop,water,5
drop,water drop,5
web,web,42
hammer,whack,13
snow,winter,27
tree,wood,41
dragon,wyvern,7
yingyang,yingyang,55
zebra,zebra,19
sun,son,28
skull,school,35
anchor,uncle,37
anchor,cork,37
tree,three,41
web,with,42
eye,i,46
bulb,ball,53
yingyang,gengar,55
yingyang,jingdong,55
yingyang,jingle jam,55
yingyang,jim jam,55
dobble,double,9
stains, staines,11
daisy, desi, 49
stop, stop sign, 16
